470702,0.7941,9.0809,54,0,8523065625
186555,5.9567,4.7968,13,1,1757726713
322648,8.3078,7.0407,74,2,1137537235
704587,7.3665,2.5165,65,3,6567393236
472130,4.0961,1.1307,31,4,7440663949
178065,3.8099,1.9586,75,5,6289802927
666829,6.3336,4.372,13,6,9931249544
369002,5.7409,6.7697,85,7,5662813655
166384,4.3114,6.941,3,8,8471780938
400060,6.3414,0.0758,65,9,1253803156
21353,2.0173,4.8627,6,10,8684462954
153493,8.7101,2.9442,73,11,2159916487
574488,0.8829,1.3445,64,12,7652380351
238054,2.4336,8.06,62,13,8234363596
325411,6.155,1.9774,8,14,2272949794
321519,7.6219,9.6208,65,15,4740742194
777982,3.2494,3.2096,75,16,2123587484
320633,0.7084,8.9051,69,17,8016758016
6249,2.7256,1.0135,54,18,8936085695
411437,4.2683,1.8238,70,19,2778700985
736113,5.3298,6.3457,52,20,4845908305
500479,4.283,3.1855,62,21,3938338894
181701,9.6349,1.2462,172,22,9784464752
726403,7.4492,8.995,17,23,1874355796
245292,1.2837,7.5588,4,24,9885174082
323935,7.6423,6.7629,70,25,4294512385
297623,4.6375,3.4561,67,26,7766380992
727097,4.3794,7.2107,165,27,2110807282
11929,7.2382,4.3998,75,28,9713229580
310734,4.5083,1.8794,2,29,6163271747
76243,5.339,2.5803,149,30,5332571508
358928,1.5702,2.807,47,31,6179383704
600746,5.3103,8.491,73,32,7651017815
310262,7.3227,5.1229,5,33,3323368000
729423,3.1667,6.2971,32,34,6020820466
725239,8.5522,0.5541,9,35,7971992619
160892,9.0104,7.1375,57,36,2418763324
499008,9.623,7.2774,24,37,3805035152
393598,4.8259,7.8946,124,38,8928471601
477469,1.2191,1.3462,743,39,6171384989
594450,5.5427,7.8075,9,40,4952233441
379296,3.6597,6.3443,123,41,4725670121
606598,6.6331,5.2246,69,42,5124302176
581411,4.1841,9.373,71,43,3524809832
766037,2.0768,4.4422,53,44,1367769233
115976,3.1491,1.6401,157,45,1464085506
544158,1.5167,8.9621,159,46,3270740537
398762,1.203,5.3153,43,47,8723194881
343986,5.0278,7.7972,25,48,6454154891
505075,6.2591,3.4753,65,49,8329979618
73189,5.5137,1.323,63,50,4203119052
399538,5.6128,9.6412,13,51,7902349821
716537,1.3307,9.9828,53,52,5093358914
572276,6.2188,7.5741,65,53,9387875023
220833,1.9264,0.2691,64,54,4228252677
212225,5.686,3.9426,73,55,1553298457
733572,4.4478,9.7351,61,56,9448507823
430045,9.581,1.7132,65,57,8157522327
689815,4.5698,4.1206,101,58,5158095731
672679,0.1927,5.0773,42,59,2046159033
612228,0.613,2.2644,5,60,5336109353
70060,5.2614,9.8063,94,61,7459224003
574643,6.2019,5.4881,303,62,8673603270
641533,3.4877,0.4956,75,63,8775814893
554910,1.8509,5.2754,171,64,2528204956
546980,0.5082,3.4107,73,65,8600774186
693299,0.3093,5.7269,64,66,4799204024
636948,0.2758,6.2541,182,67,6318874027
105723,2.217,6.8293,56,68,6345260964
258162,5.4213,9.3616,5,69,3271076431
147159,0.4763,8.23,80,70,8640222556
258365,6.8635,4.4686,247,71,2914591934
358263,5.5935,2.5938,56,72,3275867784
476529,3.8248,4.1736,45,73,1387660996
769002,1.8616,2.8019,133,74,4530587605
343571,4.5027,4.36,86,75,1806177396
561388,3.1704,8.2077,132,76,5320890641
544855,9.4626,3.9938,23,77,2227314169
299145,9.8236,9.88,74,78,7427358270
173136,4.1472,8.8467,17,79,6001973189
772745,1.669,5.7207,80,80,7487310273
329163,6.0513,7.761,75,81,1868817513
415119,2.9265,2.359,55,82,9313893105
140586,4.9941,0.096,177,83,6040906104
651562,4.2708,5.143,68,84,1569679800
447111,5.1621,0.252,59,85,3793358279
645410,9.4804,1.4371,160,86,5589349223
104591,4.6449,1.2157,67,87,3243951535
676464,5.7111,9.2296,139,88,7224635224
744939,5.4847,7.41,65,89,3626168775
736102,4.8707,6.2239,62,90,8418409841
202338,3.5149,2.451,3,91,4639582171
644180,1.1055,9.4785,54,92,3293196015
643386,4.8579,2.4629,33,93,2677147592
683053,2.9072,4.1222,70,94,5744032337
158759,4.8407,7.0817,54,95,2953685244
542463,7.9815,2.6339,72,96,4838747140
496300,4.0904,8.2427,65,97,9681718031
330346,5.2715,0.7871,63,98,1603102799
463599,3.2805,6.7441,47,99,4215602515
748907,9.7952,7.7306,66,100,1671447920
115352,3.4777,2.0938,71,101,3762957785
546586,4.4817,6.5322,70,102,9768707769
